start,end,register,perfomance_summary/year,perfomance_summary/quarter_year,perfomance_summary/month,perfomance_summary/sub_county_counties,perfomance_summary/sub_county_sub_counties,perfomance_summary/sub_county_contituency,perfomance_summary/sub_county,perfomance_summary/project_type,perfomance_summary/banana_projects,perfomance_summary/exp_contribution,perfomance_summary/actual_contribution,perfomance_summary/community_contribution,membership/m_members,membership/f_members,membership/total_members,membership/v_members,membership/m_pmc_members,membership/f_pmc_members,membership/total_pmc_members,membership/v_pmc_members,meetings/epmc_em,meetings/epmc_mh,meetings/epmc_mh_percentage,meetings/epmc_expected_members,meetings/epmc_members_attended,meetings/epmc_ma_percentage,meetings/mmm_em,meetings/mmm_mh,meetings/mmm_mh_percentage,meetings/mmm_expected_members,meetings/mmm_members_attended,meetings/mmm_ma_percentage,meetings/spm_em,meetings/agm_em,meetings/agm_mh,meetings/agm_mh_percentage,meetings/agm_expected_members,meetings/agm_members_attended,meetings/agm_ma_percentage,mproject_performance/plantlets_target,mproject_performance/plantlets_achievement,mproject_performance/plantlets_percentage,mproject_performance/plantlets_proceeds_target,mproject_performance/plantlets_proceeds_achievement,mproject_performance/plantlets_proceeds_percentage,mproject_performance/acreage_target,mproject_performance/acreage_achievement,mproject_performance/acreage_percentage,mproject_performance/bb_harvested_target,mproject_performance/bb_harvested_achievement,mproject_performance/bb_harvested_percentage,mproject_performance/ssold_target,mproject_performance/ssold_achievement,mproject_performance/ssold_percentage,mproject_performance/expected_funds,mproject_performance/funds_recieved,mproject_performance/funds_recieved_percentage,mproject_performance/funds_expenditure,mproject_performance/funds_expenditure_percentage,impact_information/db_target,impact_information/db_achievement,impact_information/db_percentage,impact_information/fb_target,impact_information/fb_achievement,impact_information/fb_percentage,impact_information/mb_target,impact_information/mb_achievement,impact_information/mb_percentage,impact_information/vb_target,impact_information/vb_achievement,impact_information/vb_percentage,impact_information/grp_target,impact_information/grp_achievement,impact_information/grp_percentage,impact_information/bnf_income_target,impact_information/bnf_income_achievement,impact_information/bnf_income_percentage,impact_information/b_income,impact_information/b_improved_houses,impact_information/b_hh_assets,impact_information/no_children,impact_information/observations,impact_information/recommendations,photo_signatures/project_photo,photo_signatures/admin_change,photo_signatures/admin_list/chairperson,photo_signatures/admin_list/secretary,photo_signatures/admin_list/treasurer,photo_signatures/admin_list/none,photo_signatures/new_chair,photo_signatures/nc-contact,photo_signatures/new_secretary,photo_signatures/ns-contact,photo_signatures/new_treasurer,photo_signatures/nt-contact,photo_signatures/signature_treasurer,photo_signatures/chair_person,photo_signatures/signature_chair,photo_signatures/sec_name,photo_signatures/signature_sec,photo_signatures/date_compiled,meta/instanceID,_uuid,_submission_time,_tags,_notes
2013-12-29T15:39:11.631+03,2014-01-06T18:38:06.633+03,yes,2013_14,q_2,12,bungoma,bungoma,sirisia,kuywa,cap,WDER,192810,201350,104,39,43,82,17,3,2,5,1,5,5,100,5,4,80,82,3,4,82,53,65,1,1,1,100,82,69,84,2817,2817,100,2000,0,0,20,5,25,1660,0,0,2800,0,0,449890,449890,100,369200,82,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1388739244408.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Henry Kuloba,1388739278571.jpg,Erick muindi,1388739388529.jpg,2013-12-29,uuid:333c0288-3703-459f-87ca-3c3b136d811f,333c0288-3703-459f-87ca-3c3b136d811f,2014-01-06T19:08:27,,
2013-10-10T17:19:16.189+03,2014-01-07T05:04:56.963+03,yes,2013_14,q_2,12,bungoma,bungoma,sirisia,c_namwela,cap,TG3Z,193200,201050,104,87,150,237,51,3,2,5,1,6,5,83,5,5,100,3,3,100,211,92,44,2,0,0,0,237,0,0,3258,2358,72,2000,0,0,120,89,74,16000,0,0,6000,0,0,366000,366000,100,258800,71,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1388731132278.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Backson Wandabwa,1381557436696.jpg,Bernard Walukana,1381557476394.jpg,2013-12-30,uuid:efc2ac36-433d-474a-8fd6-8282eedd8706,efc2ac36-433d-474a-8fd6-8282eedd8706,2014-01-07T03:58:35,,
2013-09-28T21:39:09.588+03,2013-09-28T22:05:25.388+03,yes,2012_13,q_4,6,kakamega,lugari,lugari,kiliboti,cap,Kiliboti tissue culture,30500,10500,34,40,21,61,61,3,2,5,5,6,5,83,5,4,80,3,2,67,61,50,82,1,1,0,0,61,0,0,4341,1447,33,4341,1447,33,10,5,50,600,300,50,1020000,120000,12,540000,540000,100,540000,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1380395047523.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,O,n/a,O,n/a,2013-09-28,uuid:58c9b133-60b7-4d0e-a9c5-2ae82911f120,58c9b133-60b7-4d0e-a9c5-2ae82911f120,2013-09-28T19:50:40,,
2013-11-20T21:57:30.628+03,2013-11-20T22:05:22.694+03,yes,2013_14,q_1,9,bungoma,bungoma,webuye,sitikho,cap,4GHD,263280,296630,113,21,35,56,12,3,2,5,1,6,5,83,5,4,80,3,4,133,56,31,55,0,0,0,0,56,0,0,2300,1700,74,250,0,0,100,26,26,2500,0,0,1960,0,0,215000,215000,100,201500,94,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1384974253006.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Daniel Barasa,1384974279475.jpg,George Wekesa,1384974299493.jpg,2013-10-16,uuid:2b51ddf9-7fd0-4f10-abda-7b56cae122dc,2b51ddf9-7fd0-4f10-abda-7b56cae122dc,2013-11-23T09:59:40,,
2013-08-01T10:58:36.826+03,2013-08-10T22:49:52.146+03,yes,2012_13,q_4,6,bungoma,bungoma,bumula,kabula,cap,5EUH,123375,110900,90,120,80,200,10,3,2,5,0,12,12,100,5,5,100,3,4,133,200,156,78,1,1,0,0,200,0,0,3000,1500,50,2000,2300,115,100,20,20,200000,30000,15,136000,7200,5,360000,360000,100,180000,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1375345906473.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Joseph J. Mukananachi,1375345960121.jpg,Antony Masinde,1375346093091.jpg,2013-08-01,uuid:b2559eae-aa40-42c0-89a2-f05473a6746e,b2559eae-aa40-42c0-89a2-f05473a6746e,2013-08-10T20:16:45,,
2013-08-28T08:11:52.046+03,2013-08-28T08:35:53.756+03,yes,2013_14,q_1,7,busia,busia,butula,bumala_b_,cap,EDA9,196647,109800,56,18,22,40,15,3,3,6,1,8,6,75,7,6,86,3,3,100,40,32,80,0,1,0,0,40,0,0,2700,1000,37,231,0,0,40,10,25,0,0,0,0,0,0,458843,174300,38,147000,32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1377667922918.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mr.Silvanus Oyosa,1377668090764.jpg,Mrs. Clare Okumu,1377668137615.jpg,2013-08-28,uuid:a55d3977-36d3-4f9c-a43f-167d83eb8288,a55d3977-36d3-4f9c-a43f-167d83eb8288,2013-08-28T06:39:50,,
2013-08-12T12:09:44.215+03,2013-08-12T12:49:11.322+03,yes,2013_14,q_1,7,busia,teso,amagoro,koruruma,cap,V68G,1600,1050,66,20,5,25,7,2,1,3,1,3,3,100,3,3,100,3,3,100,25,18,72,1,1,1,100,25,25,100,1300,300,23,2000,0,0,1,6,600,250,60,24,300,0,0,260000,260000,100,260000,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1376300817536.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Filgrina odeke,1376300903378.jpg,Mark otaruk,1376300935401.jpg,2013-08-12,uuid:044bfe50-c9b9-4ff6-81df-2b287042273d,044bfe50-c9b9-4ff6-81df-2b287042273d,2013-08-17T05:03:03,,
2013-08-15T10:44:10.992+03,2013-08-15T11:00:37.159+03,yes,2013_14,q_1,6,busia,teso,amagoro,koruruma,cap,V68G,1600,2050,128,20,5,25,7,2,1,3,1,3,3,100,3,3,100,3,3,100,25,18,72,0,1,0,0,25,0,0,1300,300,23,250,0,0,25,6,24,250,60,24,1300,150,12,260000,260000,100,260000,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1376553465873.jpg,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Filgirina odeke,1376553582606.jpg,Mark otaruk,1376553618253.jpg,2013-08-15,uuid:850487cd-458c-400b-8e11-c8ad72560458,850487cd-458c-400b-8e11-c8ad72560458,2013-08-15T17:55:18,,
2013-08-10T16:05:47.399+03,2013-08-10T19:37:31.905+03,yes,2012_13,q_4,6,bungoma,bungoma,sirisia,c_namwela,cap,TG3Z,193200,201050,104,87,150,237,51,3,2,5,1,6,6,100,5,4,80,3,4,133,237,211,89,2,0,0,0,237,0,0,3258,2538,78,2000,0,0,120,89,74,16000,0,0,6000,0,0,366000,366000,100,258800,71,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1376140673295.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Backson Wandabwa,1376140707427.jpg,Bernard Walukana,1376140750951.jpg,2013-08-08,uuid:7db7ea45-f982-4db5-8a75-f18a83b48482,7db7ea45-f982-4db5-8a75-f18a83b48482,2013-08-11T05:52:15,,
2013-08-22T08:03:15.131+03,2013-08-22T09:27:11.479+03,yes,2013_14,q_4,7,busia,busia,butula,bumala_b_,cap,EDA9,196640,123350,63,18,22,40,10,3,4,7,1,4,4,100,7,6,86,3,3,100,40,35,88,1,1,1,100,40,32,80,2700,1000,37,500,0,0,20,10,50,0,0,0,0,0,0,458834,174300,38,174300,38,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1377149226511.jpg,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,0,n/a,2013-08-22,uuid:32802fa8-b82b-4080-8f91-ac467167a8c2,32802fa8-b82b-4080-8f91-ac467167a8c2,2013-08-26T09:02:12,,
